date,price_usd,volume_usd,market_cap_usd
2026-07-17,6.94,30826986.374624502,1092930663.6491647
2026-07-18,7.04,39319433.19539185,1109076086.1135776
2026-07-19,7.01,24725494.771787524,1104505061.6687222
2026-07-20,6.84,34502436.83465003,1077859999.2699773
2026-07-21,6.97,43126940.09172202,1097886429.7668686
2026-07-22,6.99,33379029.057887256,1101921282.5771675
2026-07-23,6.91,28621115.558463376,1089505369.1870782
2026-07-24,6.75,40331766.88777667,1063259671.3219156
2026-07-25,6.6,37128845.500332534,1040303388.7994804
2026-07-26,6.9,32697941.64905286,1089068079.5012279
2026-07-27,7.02,49712990.66260566,1107053904.5510154
2026-07-28,6.76,37410921.62674766,1065397040.01958
2026-07-29,6.66,33625747.436745666,1051073436.5458862
2026-07-30,6.72,26854205.70393977,1060048816.7077172
2026-07-31,6.66,23912933.037122097,1050173636.4259117
2026-08-01,6.69,26553623.08806564,1054801036.0862495
2026-08-02,6.6,29894635.147997815,1040477310.1973989
2026-08-03,6.58,26645943.326670427,1037081482.4525312
2026-08-04,6.62,28686564.551148046,1045084088.8820425
2026-08-05,6.53,56315731.63281062,1030537010.1958275
2026-08-06,6.53,28643371.582861904,1029737314.8481923
2026-08-07,6.49,32716224.694307238,1022959006.0182073
2026-08-08,6.51,24518800.15278164,1026915965.742547
2026-08-09,6.49,22354596.92713955,1022684486.8874224
2026-08-10,6.49,24251068.29053588,1024070889.8524498
2026-08-11,6.41,25355321.33651309,1011148163.1840733
2026-08-12,6.36,28454526.522047967,1004387735.079308
2026-08-13,6.3,32675611.1091627,993843926.5406476
2026-08-14,6.16,23292273.815373406,973011444.7827185
2026-08-15,6.23,28408870.774271864,982912221.5774682
2026-08-16,6.17,25265231.074383955,973837321.9035639
2026-08-17,6.22,27440850.5157062,980828968.721895
2026-08-18,6.08,23435265.39649296,959833695.0570028
2026-08-19,6.09,28993250.491040207,961581229.5262313
2026-08-20,6.61,44058698.52469361,1043253599.9777409
2026-08-21,7.05,51053855.15626424,1113042383.8646796
2026-08-22,8.84,135563351.35364342,1395434737.8187075
2026-08-23,7.84,120046087.55570102,1239766136.7465248
2026-08-24,7.73,65571509.02788688,1219980851.5342634
2026-08-25,7.92,63851011.41248969,1255499779.833142
2026-08-26,7.8,66718828.003049806,1232258292.0051668
2026-08-27,7.82,51970928.660968766,1234384983.9654944
2026-08-28,7.67,43035995.382840715,1212096825.5200005
2026-08-29,7.49,40986314.00296578,1182658131.8138244
2026-08-30,7.42,34466188.8885345,1171747021.315446
2026-08-31,7.23,49245054.22381887,1142382129.7837572
2026-09-01,7.35,45450844.90612224,1162361232.5088735
2026-09-02,7.26,36760300.77556083,1147296891.787964
2026-09-03,7.36,33145499.490287397,1163173369.698828
2026-09-04,7.56,41870699.117251985,1195238099.0380456
